Reference,Qty,Value,Footprint,URL,Datasheet
Column1,Column2,Column3,Column4,Column5,Column6
IC1,1,SY8120B1ABC,lib:SOT95P285X140-6N,https://fr.aliexpress.com/item/1005006741598248.html?spm=a2g0o.cart.0.0.7c5538dawRMWSi&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.45%21EUR%201.41%21%21EUR%201.41%21%21%21%40210390c917760693228963519e12b5%2112000038154279988%21ct%21FR%214057000124%21%211%210%21&gatewayAdapt=glo2fra,https://datasheet.lcsc.com/szlcsc/Silergy-Corp-SY8120B1ABC_C88474.pdf
"IC2,IC3",2,"74HCT125D,653",lib:SOIC127P600X175-14N,"https://fr.aliexpress.com/item/1005010022053816.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.76edwGJCwGJCNe&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=79d3aac6-f9a9-4090-8571-da51baa55c52&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:79d3aac6-f9a9-4090-8571-da51baa55c52,tpp_buckets:668%232846%238110%231995&pdp_ext_f=%7B""order""%3A""62""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21EUR%212.69%212.59%21%21%213.07%212.96%21%40211b61a417760697769953643e5310%2112000050863798374%21rec%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895%3BpisId%3A5000000204638773&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005010022053816%7C_p_origin_prod%3A#nav-specification",https://assets.nexperia.com/documents/data-sheet/74HC_HCT125.pdf
J1,1,USB_C_Receptacle_USB2.0_16P,Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,https://fr.aliexpress.com/item/1005009247123060.html?spm=a2g0o.cart.0.0.235338da2oZDqb&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.96%21EUR%201.80%21%21EUR%201.80%21%21%21%402103834817760700001177903e5bba%2112000048464413928%21ct%21FR%214057000124%21%211%210%21&gatewayAdapt=glo2fra,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
J2,1,Conn_01x05_Pin,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,uart_header,
J3,1,Conn_01x02_Pin,lib:Vin_solder_pads,Wire_to_board,
J5,1,Conn_01x15,lib:D-15M,Forge,
L1,1,4.7uH,Inductor_SMD:L_7.3x7.3_H3.5,https://fr.aliexpress.com/item/4000227144494.html?spm=a2g0o.cart.0.0.252538da87g3Vr&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.42%21EUR%201.37%21%21EUR%201.37%21%21%21%402103834817760700803972860e5bba%2110000000903901100%21ct%21FR%214057000124%21%211%210%21&gatewayAdapt=glo2fra,
L2,1,100uH,Inductor_SMD:L_12x12mm_H6mm,https://fr.aliexpress.com/item/1005003561748084.html?spm=a2g0o.cart.0.0.6fc638dasIQxZa&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.31%21EUR%201.27%21%21EUR%201.27%21%21%21%40211b430817760703734664817e5448%2112000026293093305%21ct%21FR%214057000124%21%211%210%21&gatewayAdapt=glo2fra,
Q1,1,NPN,lib:TRANS_BC547C,"https://fr.aliexpress.com/item/1005001622592005.html?spm=a2g0o.productlist.main.12.138b407aVroh5B&aem_p4p_detail=202604070731124316138834925120000211149&algo_pvid=6d7de3ce-ffee-4c32-bbf0-75720cecd3e4&algo_exp_id=6d7de3ce-ffee-4c32-bbf0-75720cecd3e4-11&pdp_ext_f=%7B""order""%3A""43""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%212.34%212.27%21%21%212.63%212.55%21%40211b6c1917755722721398579e4c63%2112000016853744310%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895%3BpisId%3A5000000203430029&curPageLogUid=bqwOHorUxXNk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001622592005%7C_p_origin_prod%3A&search_p4p_id=202604070731124316138834925120000211149_3",https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_BJTs
R1,1,100k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"https://fr.aliexpress.com/item/1005006277097647.html?spm=a2g0o.productlist.main.4.5497609eoZ2an5&aem_p4p_detail=2026040805294610962765271214220000733075&algo_pvid=63fca2ac-0917-4ffc-b231-b461f8bb1c4e&algo_exp_id=63fca2ac-0917-4ffc-b231-b461f8bb1c4e-3&pdp_ext_f=%7B""order""%3A""362""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%210.41%210.41%21%21%213.17%213.17%21%40211b815c17756513867967579ebaf6%2112000036577211901%21sea%21FR%214057000124%21X%211%210%21n_tag%3A-29919%3Bd%3A43fa4629%3Bm03_new_user%3A-29895&curPageLogUid=2BeUodJ0CgJ5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006277097647%7C_p_origin_prod%3A&search_p4p_id=2026040805294610962765271214220000733075_1",
